,school_name,address,postal_code,school_type,lat,long
0,ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,PRIMARY,1.44298589789841,103.800304550731
1,ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,SECONDARY,1.44589068910993,103.802398196596
2,AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,PRIMARY,1.43368120674913,103.832924289687
3,AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,SECONDARY,1.43623514612253,103.82998645047
4,AI TONG SCHOOL,100  Bright Hill Drive,579646,PRIMARY,1.36073636488519,103.833075654586
5,ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,PRIMARY,1.29141244826495,103.824359324379
6,ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,PRIMARY,1.39099731986818,103.886918030392
7,ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,PRIMARY,1.38419941907925,103.841411716006
8,ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,SECONDARY,1.37424218886593,103.851429953072
9,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,JUNIOR COLLEGE,1.37839670972543,103.845885968342
10,ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,PRIMARY,1.36909206497026,103.839041355537
11,ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,SECONDARY,1.36735900385008,103.842600374475
12,ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,SECONDARY,1.33062454661529,103.941062122327
13,ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,JUNIOR COLLEGE,1.30328795437358,103.785262975405
14,ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,SECONDARY,1.31945060832386,103.835698465252
15,ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,MIXED LEVELS,1.30244478759311,103.780249819952
16,ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,PRIMARY,1.30937872352186,103.840789144711
17,ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,PRIMARY,1.31871859882709,103.835345168025
18,ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,PRIMARY,1.34857143331006,103.951673027853
19,ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,SECONDARY,1.36853405374096,103.766675011324
20,ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,SECONDARY,1.37047801891506,103.766799773141
21,BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,SECONDARY,1.34001742017642,103.882455029785
22,BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,PRIMARY,1.38423667692281,103.773754356751
23,BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,SECONDARY,1.34179051106272,103.852064858056
24,BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,PRIMARY,1.32399627634455,103.937745022761
25,BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,SECONDARY,1.33382668065759,103.935513154683
26,BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,SECONDARY,1.32565341744897,103.950621237692
27,BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,SECONDARY,1.32399939648613,103.943475225073
28,BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,PRIMARY,1.32197651790133,103.865444845317
29,BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,SECONDARY,1.32461111307996,103.860970284401
30,BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,PRIMARY,1.27613030444271,103.808639211285
31,BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,PRIMARY,1.34284013791617,103.712858381937
32,BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,SECONDARY,1.34322372271823,103.701702919853
33,BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,SECONDARY,1.37075107332027,103.87745903968
34,BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,SECONDARY,1.30750538031989,103.886675419311
35,BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,SECONDARY,1.34835121539207,103.740873402493
36,BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,SECONDARY,1.28575153716321,103.813208356372
37,BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,689809,SECONDARY,1.38213672186466,103.738134418559
38,BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,PRIMARY,1.37350089986584,103.769417337654
39,BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,PRIMARY,1.3377498622588,103.766855344779
40,BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,PRIMARY,1.34594524614786,103.753588844734
41,BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,SECONDARY,1.34572315130521,103.752277765539
42,CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,PRIMARY,1.45081993926999,103.815714090629
43,CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,SECONDARY,1.4532797110912,103.814470689411
44,CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,PRIMARY,1.32651105993099,103.88175693878
45,CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,PRIMARY,1.27550544136483,103.839922725842
